ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
672767839;16.03.2019;BMW;3;320d Standart ;2010;1;0;230.000;2;177;1995;sedan;90.500
671626694;13.03.2019;BMW;3;320d Standart ;2013;1;0;120.000;1;184;1995;sedan;141.900
628429770;01.03.2019;BMW;3;320d Standart ;2004;1;0;230.000;3;150;2000;sedan;65.500
  664465457;23.02.2019;BMW;3;320d Standart ;2013;1;0;100.000;1;184;1995;sedan;165.000
674113721;20.03.2019;BMW;3;320d Standart ;2006;1;0;214.000;2;163;1995;sedan;75.000
674172699;20.03.2019;BMW;3;320d Standart ;2000;1;1;310.000;3;136;1951;sedan;45.000
662024359;19.03.2019;BMW;3;320d Standart ;2007;1;0;288.000;2;163;1995;sedan;82.000
555725298;19.03.2019;BMW;3;320d Standart ;2012;1;0;87.000;1;184;1995;sedan;131.000
674025508;19.03.2019;BMW;3;320d Standart ;2001;1;0;290.000;2;150;1995;sedan;43.500
674013015;19.03.2019;BMW;3;320d Standart ;2010;1;0;105.000;1;184;1995;sedan;95.900
670726317;19.03.2019;BMW;3;320d Standart ;2008;1;0;278.000;2;177;1995;sedan;65.000
673948811;19.03.2019;BMW;3;320d Standart ;2001;1;0;360.000;8;150;1995;sedan;49.500
673946540;19.03.2019;BMW;3;320d Standart ;2012;1;0;151.000;1;184;1995;sedan;139.900
673901075;19.03.2019;BMW;3;320d Standart ;2004;1;0;226.000;5;150;1995;sedan;55.000
625246327;19.03.2019;BMW;3;320d Standart ;2013;1;0;46.000;1;184;1995;sedan;181.000
670885790;19.03.2019;BMW;3;320d Standart ;2006;1;0;224.000;7;163;1995;sedan;80.000
616396220;19.03.2019;BMW;3;320d Standart ;2006;1;0;310.000;2;163;1995;sedan;71.500
673680617;19.03.2019;BMW;3;320d Standart ;2005;1;0;251.000;2;163;1995;sedan;79.500
673713709;19.03.2019;BMW;3;320d Standart ;2004;1;0;282.000;4;150;1995;sedan;64.500
674022515;19.03.2019;BMW;3;320d Standart ;2011;1;0;367.000;1;184;1995;sedan;69.000
659516318;18.03.2019;BMW;3;320d Standart ;2006;1;0;230.000;2;163;1995;sedan;56.500
673643495;18.03.2019;BMW;3;320d Standart ;2002;1;0;226.412;5;150;1995;sedan;45.600
663243967;18.03.2019;BMW;3;320d Standart ;2006;1;0;266.400;2;163;1995;sedan;68.000
673508507;18.03.2019;BMW;3;320d Standart ;2008;1;0;280.000;2;177;1995;sedan;73.900
660719851;18.03.2019;BMW;3;320d Standart ;2001;1;1;380.000;3;150;1995;sedan;38.000
